STN_Test_Dice,RN_Test_Dice,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.7965,0.0120,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.1,0.9
0.7962,0.8140,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.1,0.9
0.7926,0.8308,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.3,0.7
0.7924,0.8231,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.5,0.5
0.7920,0.7917,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.3,0.7
0.7918,0.8295,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.1,0.9
0.7910,0.8050,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.3,0.7
0.7906,0.0081,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.3,0.7
0.7900,0.0172,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.5,0.5
0.7886,0.8361,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.1,0.9
0.7878,0.8205,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.1,0.9
0.7876,0.7353,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.3,0.7
0.7872,0.7466,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.1,0.9
0.7870,0.0120,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.3,0.7
0.7867,0.8162,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.5,0.5
0.7863,0.7890,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.5,0.5
0.7862,0.7971,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.5,0.5
0.7856,0.7262,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.5,0.5
0.7852,0.7944,FocalTversky,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.5,0.5
0.7835,0.0145,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.3,0.7
0.7832,0.0128,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.3,0.7
0.7815,0.8116,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.1,0.9
0.7768,0.7644,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.3,0.7
0.7757,0.6979,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.3,0.7
0.7755,0.7875,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.3,0.7
0.7753,0.7950,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.3,0.7
0.7745,0.7602,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.2,True,0.5,0.5
0.7743,0.7537,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.3,0.7
0.7717,0.7736,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.5,0.5
0.7697,0.7133,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.5,0.5
0.7688,0.8049,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.3,0.7
0.7684,0.0115,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.7679,0.7761,CEDice,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.5,0.5
0.7635,0.7880,CEDice,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.3,0.7
0.7624,0.7658,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.2,True,0.5,0.5
0.7596,0.7575,CEDice,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.5,0.5
0.7588,0.7350,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.5,0.5
0.7564,0.7309,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.5,0.5
0.7557,0.7453,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.5,0.5
0.7539,0.7503,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.5,0.5
0.7534,0.7243,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.5,0.5
0.7489,0.7479,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.5,0.5
0.7485,0.6377,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.3,0.7
0.7480,0.7312,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.1,0.9
0.7475,0.7451,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.3,0.7
0.7370,0.7123,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.5,0.5
0.7293,0.7456,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.3,0.7
0.7193,0.7132,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.5,0.5
0.7157,0.6663,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.3,0.7
0.7029,0.6590,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.5,0.5
0.7010,0.6924,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.3,0.7
0.6976,0.6900,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.5,0.5
0.6886,0.6315,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.5,0.5
0.6807,0.6528,FocalTversky,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.5,0.5
0.6805,0.6736,CEDice,"[32, 64, 128, 256]",0.0001,0.01,0.2,True,0.5,0.5
0.6640,0.6786,FocalTversky,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.5,0.5
0.6438,0.6625,CEDice,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.5,0.5
