Val_STN_Dice_2D,Val_RN_Dice_2D,Val_Loss,Test_STN_Dice_2D,Test_RN_Dice_2D,Test_Loss,STN_val_mean_dice,STN_val_std_dice,STN_val_mean_hd95,STN_val_std_hd95,STN_val_mean_precision,STN_val_std_precision,STN_val_mean_recall,STN_val_std_recall,STN_val_mean_iou,STN_val_std_iou,RN_val_mean_dice,RN_val_std_dice,RN_val_mean_hd95,RN_val_std_hd95,RN_val_mean_precision,RN_val_std_precision,RN_val_mean_recall,RN_val_std_recall,RN_val_mean_iou,RN_val_std_iou,STN_test_mean_dice,STN_test_std_dice,STN_test_mean_hd95,STN_test_std_hd95,STN_test_mean_precision,STN_test_std_precision,STN_test_mean_recall,STN_test_std_recall,STN_test_mean_iou,STN_test_std_iou,RN_test_mean_dice,RN_test_std_dice,RN_test_mean_hd95,RN_test_std_hd95,RN_test_mean_precision,RN_test_std_precision,RN_test_mean_recall,RN_test_std_recall,RN_test_mean_iou,RN_test_std_iou,Loss_Type,Features,Learning_Rate,Weight_Decay,Dropout,Only_Annotated,CE_Weight,FT_Weight
0.7992,0.7907,0.3214,0.8215,0.8551,0.2673,0.7945,0.0818,1.30,0.80,0.7631,0.1124,0.8625,0.1410,0.6667,0.1131,0.7781,0.0556,1.27,0.52,0.7698,0.1735,0.8484,0.1321,0.6400,0.0724,0.8213,0.0351,1.22,0.51,0.8080,0.0477,0.8427,0.0814,0.6983,0.0492,0.8525,0.0465,1.08,0.58,0.8606,0.0770,0.8510,0.0620,0.7458,0.0717,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.1,0.9
0.7987,0.7822,0.3387,0.8190,0.8390,0.2913,0.7943,0.0838,1.30,0.71,0.7592,0.1068,0.8659,0.1468,0.6669,0.1167,0.7624,0.0676,1.31,0.47,0.7389,0.1825,0.8535,0.1209,0.6207,0.0845,0.8174,0.0133,1.41,0.36,0.7925,0.0539,0.8507,0.0532,0.6914,0.0190,0.8370,0.0449,1.15,0.54,0.8185,0.0843,0.8676,0.0735,0.7223,0.0675,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.2,True,0.1,0.9
0.7983,0.0163,0.5397,0.8116,0.0140,0.5369,0.7925,0.0767,1.43,0.85,0.7658,0.1209,0.8590,0.1376,0.6630,0.1057,0.0151,0.0064,55.94,2.93,0.0076,0.0033,0.9987,0.0022,0.0076,0.0033,0.8090,0.0473,1.35,0.50,0.7965,0.0678,0.8334,0.0949,0.6818,0.0648,0.0153,0.0042,55.98,3.87,0.0077,0.0021,1.0000,0.0000,0.0077,0.0021,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.4,True,0.5,0.5
0.7962,0.7745,0.0598,0.8050,0.8396,0.0400,0.7913,0.0935,1.48,1.03,0.7679,0.1282,0.8555,0.1486,0.6646,0.1287,0.7596,0.0716,1.35,0.60,0.7515,0.1938,0.8478,0.1489,0.6176,0.0894,0.8008,0.0492,1.42,0.48,0.8211,0.0477,0.7861,0.0823,0.6705,0.0667,0.8380,0.0432,1.12,0.54,0.8627,0.0686,0.8177,0.0446,0.7236,0.0649,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.3,0.7
0.7961,0.0141,0.5303,0.8148,0.0126,0.5259,0.7888,0.0901,1.38,0.89,0.7629,0.1433,0.8624,0.1389,0.6604,0.1226,0.0131,0.0059,55.99,2.76,0.0066,0.0030,0.9996,0.0006,0.0066,0.0030,0.8158,0.0182,1.55,0.38,0.7964,0.0418,0.8435,0.0694,0.6894,0.0259,0.0137,0.0038,56.15,4.02,0.0069,0.0019,1.0000,0.0000,0.0069,0.0019,UnifiedFocal,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.3,0.7
0.7953,0.7730,0.2569,0.8124,0.8277,0.2196,0.7822,0.0907,1.68,0.90,0.7140,0.1411,0.9022,0.0914,0.6510,0.1164,0.7383,0.0982,1.55,0.52,0.7042,0.2016,0.8583,0.1225,0.5942,0.1157,0.8088,0.0270,1.51,0.40,0.7456,0.0679,0.8915,0.0403,0.6799,0.0388,0.8280,0.0538,1.15,0.54,0.8044,0.0925,0.8591,0.0309,0.7100,0.0782,CEDice,"[64, 128, 256, 512]",0.0001,0.0001,0.4,True,0.1,0.9
0.7952,0.7803,0.2217,0.8164,0.8274,0.1823,0.7810,0.0802,1.71,0.76,0.6970,0.1288,0.9240,0.0930,0.6475,0.1020,0.7426,0.1194,1.49,0.65,0.6683,0.2063,0.9159,0.0883,0.6044,0.1466,0.8142,0.0327,1.53,0.47,0.7299,0.0706,0.9287,0.0302,0.6880,0.0472,0.8272,0.0519,1.23,0.55,0.7589,0.0867,0.9191,0.0553,0.7088,0.0779,CEDice,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.1,0.9
0.7946,0.7572,0.3715,0.8075,0.8461,0.3142,0.7866,0.0900,1.41,0.71,0.7373,0.1333,0.8813,0.1248,0.6573,0.1212,0.7600,0.0243,1.35,0.49,0.8109,0.1396,0.7687,0.1658,0.6135,0.0315,0.8068,0.0329,1.31,0.40,0.7667,0.0537,0.8568,0.0592,0.6774,0.0452,0.8453,0.0485,1.05,0.58,0.8575,0.0778,0.8354,0.0207,0.7351,0.0729,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.4,True,0.1,0.9
0.7943,0.0134,0.5144,0.8087,0.0119,0.5110,0.7950,0.0882,1.25,0.75,0.8179,0.1076,0.8006,0.1414,0.6686,0.1207,0.0125,0.0058,56.30,2.89,0.0063,0.0030,1.0000,0.0000,0.0063,0.0030,0.8125,0.0264,1.38,0.41,0.8792,0.0361,0.7605,0.0655,0.6850,0.0375,0.0129,0.0035,56.62,4.37,0.0065,0.0018,1.0000,0.0000,0.0065,0.0018,UnifiedFocal,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.5,0.5
0.7942,0.7762,0.3383,0.8060,0.8179,0.2930,0.7860,0.0738,1.49,0.65,0.7321,0.1192,0.8810,0.1106,0.6535,0.0991,0.7676,0.0618,1.28,0.49,0.7711,0.1762,0.8319,0.1476,0.6269,0.0797,0.8067,0.0254,1.43,0.36,0.7838,0.0535,0.8371,0.0570,0.6767,0.0352,0.8145,0.0399,1.30,0.49,0.8967,0.0664,0.7515,0.0610,0.6889,0.0562,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.2,True,0.1,0.9
0.7941,0.7776,0.3365,0.8212,0.8408,0.2813,0.7930,0.0999,1.22,0.72,0.7961,0.1095,0.8294,0.1733,0.6683,0.1359,0.7488,0.1002,1.40,0.58,0.7102,0.2112,0.8750,0.1140,0.6082,0.1223,0.8224,0.0099,1.63,0.38,0.8419,0.0493,0.8116,0.0671,0.6985,0.0142,0.8391,0.0491,1.16,0.59,0.8262,0.0838,0.8604,0.0610,0.7259,0.0742,FocalTversky,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
0.7939,0.0215,0.5120,0.8011,0.0158,0.5119,0.7928,0.0986,1.38,0.89,0.7961,0.1170,0.8218,0.1542,0.6677,0.1354,0.0197,0.0075,54.41,2.95,0.0100,0.0038,0.9987,0.0022,0.0100,0.0038,0.8004,0.0289,1.45,0.37,0.8446,0.0395,0.7648,0.0594,0.6682,0.0392,0.0179,0.0058,59.91,7.69,0.0090,0.0029,1.0000,0.0000,0.0090,0.0029,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.5,0.5
0.7936,0.0188,0.5392,0.8162,0.0174,0.5331,0.7866,0.0932,1.47,0.91,0.7679,0.1475,0.8527,0.1401,0.6580,0.1265,0.0184,0.0067,68.94,0.79,0.0093,0.0034,0.9993,0.0013,0.0093,0.0034,0.8112,0.0332,1.38,0.39,0.7958,0.0524,0.8323,0.0596,0.6836,0.0468,0.0182,0.0043,69.19,4.70,0.0092,0.0022,1.0000,0.0000,0.0092,0.0022,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.0001,0.2,True,0.3,0.7
0.7936,0.7942,0.3172,0.8184,0.8408,0.2783,0.7926,0.0978,1.22,0.72,0.7853,0.1144,0.8376,0.1650,0.6673,0.1340,0.8036,0.0233,1.05,0.29,0.8266,0.1046,0.8147,0.1309,0.6724,0.0319,0.8183,0.0250,1.42,0.40,0.8178,0.0465,0.8256,0.0695,0.6932,0.0354,0.8414,0.0479,1.38,0.65,0.8461,0.0898,0.8425,0.0264,0.7292,0.0713,FocalTversky,"[64, 128, 256, 512]",0.0005,0.01,0.2,True,0.1,0.9
0.7935,0.7915,0.3137,0.8266,0.8471,0.2594,0.7806,0.0857,1.73,0.80,0.6921,0.1246,0.9267,0.0892,0.6479,0.1103,0.7731,0.0536,1.15,0.23,0.7330,0.1628,0.8725,0.1075,0.6332,0.0705,0.8243,0.0293,1.41,0.52,0.7499,0.0670,0.9222,0.0288,0.7023,0.0429,0.8449,0.0518,1.05,0.58,0.8428,0.0726,0.8510,0.0584,0.7350,0.0789,FocalTversky,"[32, 64, 128, 256]",0.0005,0.01,0.4,True,0.3,0.7
0.7932,0.7495,0.3673,0.8199,0.7923,0.3179,0.7803,0.0892,1.56,0.74,0.7035,0.1365,0.9172,0.1090,0.6481,0.1150,0.7048,0.1590,1.56,0.83,0.6513,0.2494,0.8866,0.0970,0.5656,0.1753,0.8174,0.0285,1.48,0.43,0.7377,0.0658,0.9241,0.0330,0.6922,0.0410,0.7922,0.0681,1.36,0.59,0.6943,0.0926,0.9291,0.0274,0.6613,0.0955,FocalTversky,"[64, 128, 256, 512]",0.0001,0.01,0.2,True,0.3,0.7
0.7926,0.7829,0.3134,0.8126,0.8500,0.2549,0.7814,0.0790,1.61,0.63,0.7072,0.1259,0.9113,0.1112,0.6479,0.1030,0.7576,0.0760,1.41,0.44,0.7249,0.1852,0.8631,0.1182,0.6155,0.0932,0.8125,0.0078,1.41,0.36,0.7384,0.0509,0.9117,0.0559,0.6843,0.0111,0.8491,0.0403,1.05,0.58,0.8471,0.0748,0.8553,0.0316,0.7399,0.0610,FocalTversky,"[64, 128, 256, 512]",0.0005,0.0001,0.4,True,0.3,0.7
0.7924,0.0169,0.5127,0.7835,0.0145,0.5143,0.7958,0.0959,1.23,0.74,0.8204,0.1093,0.8021,0.1539,0.6712,0.1300,0.0156,0.0066,55.32,2.71,0.0079,0.0034,0.9996,0.0006,0.0079,0.0034,0.7865,0.0498,1.51,0.38,0.8542,0.0692,0.7309,0.0514,0.6508,0.0667,0.0157,0.0043,55.32,3.51,0.0079,0.0022,1.0000,0.0000,0.0079,0.0022,UnifiedFocal,"[64, 128, 256, 512]",0.0005,0.01,0.4,True,0.3,0.7
0.7922,0.0175,0.5389,0.8056,0.0164,0.5352,0.7859,0.0927,1.43,0.85,0.7652,0.1332,0.8463,0.1399,0.6569,0.1262,0.0169,0.0062,68.51,0.70,0.0086,0.0031,0.9978,0.0038,0.0086,0.0031,0.8004,0.0489,1.41,0.44,0.7855,0.0566,0.8241,0.0867,0.6700,0.0667,0.0170,0.0037,68.90,4.53,0.0086,0.0019,0.9996,0.0007,0.0086,0.0019,UnifiedFocal,"[32, 64, 128, 256]",0.0001,0.01,0.4,True,0.5,0.5
0.7918,0.7736,0.2278,0.8028,0.8137,0.2003,0.7767,0.0759,1.71,0.77,0.6777,0.1206,0.9417,0.0779,0.6408,0.0953,0.7324,0.1310,1.32,0.66,0.6694,0.2228,0.9006,0.0873,0.5937,0.1536,0.7982,0.0433,1.54,0.42,0.7078,0.0688,0.9215,0.0429,0.6664,0.0608,0.8150,0.0637,1.48,0.61,0.7514,0.1041,0.8992,0.0260,0.6929,0.0953,CEDice,"[32, 64, 128, 256]",0.0005,0.0001,0.4,True,0.1,0.9
